RTweet_Fvrt,Life_time(days)
4807,0.2265740741
6506,0.3444328704
6503,0.3434027778
4802,0.2261689815
4800,0.2260069444
6500,0.3425694444
6490,0.3347222222
4795,0.225625
6488,0.3329398148
4793,0.2251273148
4792,0.2248842593
6485,0.3327430556
6483,0.3326157407
4788,0.224837963
6474,0.327037037
4784,0.2246412037
4783,0.2235416667
6469,0.3245717593
4776,0.223125
6467,0.3229282407
4773,0.2227777778
6463,0.3215972222
6454,0.3147569444
4768,0.2227199074
6451,0.3121759259
4765,0.2225462963
6447,0.3118055556
4761,0.2223032407
6445,0.309837963
4759,0.2223032407
4755,0.2215625
6442,0.3081597222
6439,0.3067361111
4749,0.221087963
6436,0.3056828704
4744,0.2207175926
6426,0.2969097222
4741,0.2205208333
6423,0.2965740741
4738,0.220474537
4738,0.2204398148
6421,0.2964814815
4736,0.2201388889
6419,0.2952893519
4733,0.2200231481
6411,0.2908217593
6408,0.2896990741
4728,0.2195833333
6402,0.2885416667
6399,0.2844097222
4724,0.2194907407
6394,0.2834722222
4721,0.2194097222
6391,0.2831828704
4718,0.2193287037
6387,0.2824305556
4716,0.2190393519
6384,0.2812152778
4712,0.2189930556
4711,0.218912037
6380,0.2809722222
4704,0.2186342593
6378,0.2809722222
6376,0.2808796296
4700,0.2185185185
6373,0.2800578704
4698,0.2184375
6364,0.2752199074
4696,0.2183564815
4695,0.218125
6351,0.2642708333
6347,0.2641319444
4691,0.218125
6342,0.2630092593
4686,0.2173842593
6340,0.2628935185
4684,0.2171527778
4684,0.2170833333
6338,0.262337963
6338,0.2616782407
4679,0.2167592593
6336,0.2606481481
6327,0.2577199074
4673,0.2164814815
6323,0.2559722222
4668,0.2161111111
4668,0.216099537
6321,0.2558217593
4665,0.2160763889
6317,0.2528935185
4663,0.2160648148
6314,0.2527662037
6312,0.2515856481
4657,0.2159375
6307,0.2501851852
4655,0.2159259259
6305,0.2500462963
4648,0.2156134259
4643,0.2153703704
6299,0.2488194444
6293,0.2470601852
4641,0.2153587963
6291,0.2468634259
4632,0.2143055556
6287,0.2464236111
4630,0.2142708333
6281,0.2435532407
4625,0.2142476852
6279,0.2434837963
6269,0.2409375
4620,0.2141782407
4616,0.2140972222
4613,0.213900463
6257,0.2365625
6255,0.2363425926
4602,0.2133912037
4600,0.2132986111
6250,0.2348611111
4596,0.2132523148
6246,0.2335648148
6242,0.2333796296
4592,0.2132407407
4590,0.2131365741
6240,0.2322569444
6238,0.231724537
4584,0.2131134259
4582,0.2130787037
4579,0.2130787037
4574,0.2130671296
4574,0.2130439815
4572,0.2130324074
4568,0.2129861111
4561,0.2128587963
4559,0.2128240741
4555,0.2128240741
6186,0.2169328704
4552,0.2127314815
4550,0.2127083333
4549,0.212650463
4547,0.2125925926
4545,0.2125347222
4543,0.2125115741
4539,0.2124652778
4535,0.2122800926
4533,0.2121064815
4531,0.2120949074
4527,0.2119675926
4523,0.2117476852
4521,0.2117476852
4520,0.2116550926
4518,0.2115046296
6109,0.1947569444
4509,0.2107986111
4506,0.2107175926
4500,0.2100694444
4497,0.2100231481
4494,0.2098148148
4494,0.2095833333
6093,0.1918287037
4492,0.2090046296
6091,0.1917592593
6088,0.1913425926
4486,0.2076851852
4484,0.2070717593
6073,0.1884606481
4481,0.2069907407
4481,0.2067939815
4478,0.2065277778
6064,0.1865046296
6056,0.1843981481
4474,0.2065046296
6052,0.1836111111
4472,0.2064814815
5696,0.9974768519
4465,0.2061805556
4462,0.2060763889
5682,0.9762384259
4458,0.2054282407
4456,0.2052662037
4456,0.2045949074
4453,0.2045717593
4451,0.204525463
4449,0.2041203704
4447,0.2040393519
4442,0.2035648148
4437,0.2034259259
4431,0.2024884259
4429,0.2023611111
4424,0.201724537
4421,0.2010416667
